customer_id,churn_probability,risk_category,top_risk_factors
C100008,0.9133,High,277 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | customer tenure: 277.00 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100017,0.8089,High,customer tenure: 822.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 30 days since last purchase (decreasing churn risk) | total refund: 31693.05 (increasing churn risk) | change in purchase frequency: +200% (increasing churn risk)
C100019,0.6509,High,customer tenure: 1024.00 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 16 (decreasing churn risk) | 58 days since last purchase (decreasing churn risk)
C100038,0.7277,High,customer tenure: 1047.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 336 days since last purchase (increasing churn risk) | total historical order count: 15 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100053,0.959,High,742 days since last purchase (increasing churn risk) | customer tenure: 1070.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 26864.33 (increasing churn risk)
C100058,0.8785,High,414 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | avg order value: 36708.13 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100060,0.7511,High,customer tenure: 1103.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 236 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 13 (decreasing churn risk)
C100061,0.7107,High,orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 46 days since last purchase (decreasing churn risk) | total historical order count: 16 (decreasing churn risk) | customer tenure: 642.00 (increasing churn risk)
C100072,0.7805,High,orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | 180 days since last purchase (increasing churn risk) | std order value: 25389.19 (decreasing churn risk)
C100083,0.9191,High,customer tenure: 861.00 (increasing churn risk) | 267 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 7 (increasing churn risk)
C100093,0.6737,High,orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | n support tickets: 4.00 (decreasing churn risk) | customer tenure: 390.00 (decreasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C100100,0.651,High,orders in the last 90 days: 0 (increasing churn risk) | total qty: 149.00 (decreasing churn risk) | customer tenure: 910.00 (increasing churn risk) | total historical spend: 1314221.64 (decreasing churn risk) | 110 days since last purchase (increasing churn risk)
C100115,0.9505,High,customer tenure: 1220.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 204 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | average support satisfaction score: 1.00 (increasing churn risk)
C100128,0.9255,High,366 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 0.00 (decreasing churn risk)
C100129,0.6987,High,customer tenure: 196.00 (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 0.00 (decreasing churn risk)
C100139,0.932,High,656 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 1175.00 (increasing churn risk) | total historical order count: 18 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100157,0.8889,High,354 days since last purchase (increasing churn risk) | customer tenure: 978.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total qty: 81.00 (decreasing churn risk)
C100166,0.8704,High,orders in the last 90 days: 0 (increasing churn risk) | 232 days since last purchase (increasing churn risk) | avg order value: 47618.30 (increasing churn risk) | total refund: 50073.32 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100176,0.8697,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 697.00 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | total qty: 5.00 (increasing churn risk) | 138 days since last purchase (decreasing churn risk)
C100178,0.7846,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 749.00 (increasing churn risk) | 168 days since last purchase (increasing churn risk) | total historical order count: 15 (decreasing churn risk) | avg order value: 26212.31 (increasing churn risk)
C100181,0.9587,High,677 days since last purchase (increasing churn risk) | customer tenure: 990.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100186,0.7681,High,9 days since last purchase (decreasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | customer tenure: 528.00 (increasing churn risk)
C100189,0.9562,High,408 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total qty: 0.00 (increasing churn risk)
C100206,0.9167,High,438 days since last purchase (increasing churn risk) | customer tenure: 1023.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | product category diversity: 10 (decreasing churn risk)
C100209,0.9568,High,573 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 0.00 (decreasing churn risk)
C100219,0.8563,High,406 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 869.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 12 (decreasing churn risk)
C100221,0.8965,High,customer tenure: 835.00 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 56 days since last purchase (decreasing churn risk) | total historical order count: 5 (increasing churn risk)
C100229,0.9278,High,customer tenure: 697.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | reliance on discounts: 39.7% (increasing churn risk) | total qty: 11.00 (increasing churn risk)
C100239,0.7899,High,customer tenure: 1180.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 17 (decreasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk) | acquisition channel Organic Search: 0.00 (decreasing churn risk)
C100240,0.91,High,customer tenure: 842.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total refund: 186724.00 (increasing churn risk) | avg order value: 57606.95 (increasing churn risk) | 101 days since last purchase (increasing churn risk)
C100257,0.9233,High,569 days since last purchase (increasing churn risk) | customer tenure: 820.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | reliance on discounts: 31.6% (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100260,0.9222,High,430 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 786.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk)
C100299,0.7654,High,customer tenure: 797.00 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 15 (decreasing churn risk) | 70 days since last purchase (decreasing churn risk)
C100321,0.795,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 757.00 (increasing churn risk) | 168 days since last purchase (increasing churn risk) | total historical order count: 19 (decreasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C100333,0.7279,High,orders in the last 90 days: 0 (increasing churn risk) | total refund: 48066.77 (increasing churn risk) | customer tenure: 319.00 (decreasing churn risk) | 120 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 3 (decreasing churn risk)
C100334,0.7209,High,avg order value: 29269.97 (increasing churn risk) | 33 days since last purchase (decreasing churn risk) | total refund: 32565.07 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C100340,0.7882,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 359.00 (decreasing churn risk) | total historical order count: 4 (increasing churn risk) | 150 days since last purchase (increasing churn risk) | total historical spend: 25326.67 (increasing churn risk)
C100347,0.9311,High,customer tenure: 1013.00 (increasing churn risk) | 281 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | product category diversity: 10 (decreasing churn risk)
C100369,0.8763,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 669.00 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | 173 days since last purchase (increasing churn risk) | total qty: 13.00 (increasing churn risk)
C100385,0.6926,High,orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 182 days since last purchase (increasing churn risk) | product category diversity: 10 (decreasing churn risk) | total historical order count: 8 (increasing churn risk)
C100392,0.9228,High,365 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 881.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | n support tickets: 5.00 (increasing churn risk)
C100400,0.6163,High,orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | reliance on discounts: 16.4% (decreasing churn risk) | customer tenure: 703.00 (increasing churn risk) | 220 days since last purchase (increasing churn risk)
C100420,0.7366,High,orders in the last 90 days: 0 (increasing churn risk) | 317 days since last purchase (increasing churn risk) | customer tenure: 751.00 (increasing churn risk) | total historical order count: 19 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100429,0.9842,High,789 days since last purchase (increasing churn risk) | customer tenure: 789.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100433,0.869,High,417 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | std order value: 46054.85 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 30438.93 (increasing churn risk)
C100437,0.9448,High,customer tenure: 714.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 221 days since last purchase (increasing churn risk) | avg order value: 34980.17 (increasing churn risk) | total historical order count: 2 (increasing churn risk)
C100440,0.9022,High,378 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | avg order value: 2918.78 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100445,0.8945,High,customer tenure: 791.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 140 days since last purchase (increasing churn risk) | total historical order count: 12 (decreasing churn risk) | reliance on discounts: 35.6% (increasing churn risk)
C100449,0.9948,High,962 days since last purchase (increasing churn risk) | customer tenure: 1195.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk)
C100452,0.8418,High,244 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 338.00 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical spend: 36065.72 (increasing churn risk)
C100455,0.9565,High,611 days since last purchase (increasing churn risk) | customer tenure: 831.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100459,0.6803,High,customer tenure: 1217.00 (increasing churn risk) | total historical order count: 48 (decreasing churn risk) | orders in the last 90 days: 3 (decreasing churn risk) | total historical spend: 1033370.06 (decreasing churn risk) | total refund: 36818.00 (increasing churn risk)
