customer_id,signup_date,age,gender,region,acquisition_channel,acquisition_cost,tenure_days,frequency,monetary,avg_order_value,last_order_date,first_order_date,std_order_value,recency_days,orders_last_90d,orders_prior_90d,order_trend,avg_discount_pct,total_qty,n_categories,n_returns,total_refund,return_rate,n_support_tickets,avg_satisfaction,n_complaints,complaints_last_90d,complaints_prior_90d,complaint_trend,engagement_score,snapshot_date,churned
C100000,2025-07-26,49,Other,North,Organic Search,180,289,11,106184.24,9653.112727272728,2026-05-08,2025-08-03,11975.961873858894,3.0,4.0,2.0,0.6666666666666666,0.3698461538461538,37.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,44.44917820069204,2026-05-11,0
C100001,2024-06-22,24,Male,South,Organic Search,180,688,1,17058.95,17058.95,2024-08-16,2024-08-16,0.0,633.0,0.0,0.0,0.0,0.25499999999999995,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.235465116279071,2026-05-11,1
C100002,2026-03-31,38,Female,East,Referral,90,41,0,0.0,0.0,,,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2026-05-11,0
C100003,2025-09-22,42,Male,South,Direct,60,231,9,211886.86,23542.984444444442,2026-04-04,2025-09-29,45847.00616281207,37.0,3.0,4.0,-0.2,0.16734782608695653,32.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,43.331439393939384,2026-05-11,0
C100004,2023-09-25,58,Male,South,Social Media,420,959,2,65751.95,32875.975,2024-11-08,2024-07-19,40048.116852282204,549.0,0.0,0.0,0.0,0.2695,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25.838503649635037,2026-05-11,1
C100005,2025-05-13,48,Male,South,Organic Search,180,363,14,164202.22,11728.73,2026-05-11,2025-06-15,7234.767552540462,0.0,3.0,1.0,1.0,0.19577142857142857,53.0,11.0,1.0,11879.08,0.07142857142857142,2.0,1.5,1.0,0.0,0.0,0.0,42.95833333333333,2026-05-11,0
C100006,2025-07-28,40,Female,East,Organic Search,180,287,6,32994.89,5499.1483333333335,2026-02-03,2025-08-16,5570.1020585099395,97.0,0.0,2.0,-0.6666666666666666,0.20053846153846155,19.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,35.79573170731707,2026-05-11,1
C100007,2024-03-05,25,Male,Central,Paid Ads,650,797,3,19413.440000000002,6471.146666666667,2026-04-02,2025-08-23,1585.5605526858112,39.0,1.0,0.0,1.0,0.24349999999999997,8.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,39.599827478042656,2026-05-11,1
C100008,2025-08-07,55,Male,East,Organic Search,180,277,0,0.0,0.0,,,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2026-05-11,0
C100009,2026-03-01,40,Female,East,Email Marketing,140,71,2,36154.9,18077.45,2026-05-03,2026-04-06,21016.557039748448,8.0,2.0,0.0,2.0,0.2806,6.0,5.0,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,0.0,39.43133802816901,2026-05-11,0
C100010,2025-11-16,19,Female,West,Organic Search,180,176,3,60837.41,20279.13666666667,2026-04-15,2026-01-19,17209.314777588716,26.0,2.0,1.0,0.5,0.15033333333333332,13.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41.14204545454545,2026-05-11,1
C100011,2025-09-07,32,Female,North,Organic Search,180,246,6,74844.67,12474.111666666666,2026-02-28,2025-09-26,16261.508803149132,72.0,1.0,3.0,-0.5,0.30146666666666666,20.0,9.0,0.0,0.0,0.0,2.0,2.5,2.0,1.0,1.0,0.0,32.02395470383275,2026-05-11,1
C100012,2025-03-26,63,Female,South,Referral,90,411,11,217881.89,19807.444545454546,2026-05-08,2025-04-08,29690.016157167498,3.0,2.0,1.0,0.5,0.164625,48.0,9.0,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,0.0,47.05702554744526,2026-05-11,0
C100013,2023-12-14,24,Male,North,Organic Search,180,879,12,175917.04,14659.753333333334,2025-12-22,2023-12-31,22380.330889877525,140.0,0.0,1.0,-0.5,0.2827586206896551,43.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,44.675483503981795,2026-05-11,1
C100014,2025-10-19,39,Male,South,Paid Ads,650,204,16,179483.7,11217.73125,2026-04-23,2025-10-31,17550.469585699364,18.0,4.0,7.0,-0.375,0.351475,50.0,12.0,2.0,5529.12,0.125,6.0,2.0,3.0,1.0,1.0,0.0,42.14705882352941,2026-05-11,0
