customer_id,signup_date,age,gender,region,acquisition_channel,acquisition_cost
C100000,2025-07-26,49,Other,North,Organic Search,180
C100001,2024-06-22,24,Male,South,Organic Search,180
C100002,2026-03-31,38,Female,East,Referral,90
C100003,2025-09-22,42,Male,South,Direct,60
C100004,2023-09-25,58,Male,South,Social Media,420
C100005,2025-05-13,48,Male,South,Organic Search,180
C100006,2025-07-28,40,Female,East,Organic Search,180
C100007,2024-03-05,25,Male,Central,Paid Ads,650
C100008,2025-08-07,55,Male,East,Organic Search,180
C100009,2026-03-01,40,Female,East,Email Marketing,140
C100010,2025-11-16,19,Female,West,Organic Search,180
C100011,2025-09-07,32,Female,North,Organic Search,180
C100012,2025-03-26,63,Female,South,Referral,90
C100013,2023-12-14,24,Male,North,Organic Search,180
C100014,2025-10-19,39,Male,South,Paid Ads,650
C100015,2024-04-13,44,Female,Central,Social Media,420
C100016,2024-11-15,22,Female,South,Organic Search,180
C100017,2024-02-09,26,Male,Central,Social Media,420
C100018,2024-02-07,66,Male,North,Paid Ads,650
C100019,2023-07-22,48,Male,South,Social Media,420
C100020,2026-05-21,28,Male,South,Organic Search,180
C100021,2023-07-10,26,Other,North,Paid Ads,650
C100022,2023-04-21,40,Female,South,Social Media,420
C100023,2026-04-18,55,Male,East,Organic Search,180
C100024,2024-12-14,55,Female,East,Organic Search,180
C100025,2024-07-17,28,Female,West,Paid Ads,650
C100026,2025-08-06,55,Male,Central,Organic Search,180
C100027,2024-05-07,64,Male,East,Organic Search,180
C100028,2023-06-14,29,Female,Central,Direct,60
C100029,2025-07-27,19,Male,North,Paid Ads,650
C100030,2023-08-15,67,Female,South,Social Media,420
C100031,2024-12-12,45,Female,South,Organic Search,180
C100032,2026-05-05,58,Female,East,Organic Search,180
C100033,2026-04-18,34,Other,East,Referral,90
C100034,2024-04-08,33,Female,East,Referral,90
C100035,2025-09-30,29,Female,Central,Direct,60
C100036,2025-02-26,29,Male,South,Organic Search,180
C100037,2024-09-08,42,Female,West,Organic Search,180
C100038,2023-06-29,23,Female,East,Referral,90
C100039,2024-04-28,61,Female,East,Paid Ads,650
C100040,2025-04-18,44,Female,South,Organic Search,180
C100041,2026-06-22,65,Male,South,Paid Ads,650
C100042,2023-01-07,44,Female,South,Organic Search,180
C100043,2025-07-12,33,Female,West,Email Marketing,140
C100044,2025-12-24,44,Female,East,Email Marketing,140
C100045,2026-05-08,26,Female,North,Social Media,420
C100046,2024-06-29,60,Female,West,Paid Ads,650
C100047,2023-06-02,55,Female,West,Referral,90
C100048,2023-12-15,25,Male,Central,Social Media,420
C100049,2025-12-29,48,Male,East,Referral,90
C100050,2026-02-03,45,Female,East,Social Media,420
C100051,2025-03-30,28,Female,East,Direct,60
C100052,2023-06-07,24,Female,West,Paid Ads,650
C100053,2023-06-06,57,Male,South,Social Media,420
C100054,2024-09-06,31,Male,North,Email Marketing,140
C100055,2025-01-26,44,Male,Central,Email Marketing,140
C100056,2023-02-11,30,Female,West,Direct,60
C100057,2025-06-01,51,Female,East,Paid Ads,650
C100058,2024-12-01,20,Other,East,Referral,90
C100059,2023-01-16,36,Male,West,Paid Ads,650
C100060,2023-05-04,46,Female,North,Social Media,420
C100061,2024-08-07,40,Female,South,Organic Search,180
C100062,2025-07-18,49,Male,North,Paid Ads,650
C100063,2025-11-27,27,Other,North,Direct,60
C100064,2024-07-08,40,Female,North,Email Marketing,140
C100065,2024-01-15,57,Male,West,Paid Ads,650
C100066,2026-05-30,35,Male,North,Organic Search,180
C100067,2024-08-12,26,Female,West,Paid Ads,650
C100068,2024-02-10,62,Female,Central,Organic Search,180
C100069,2024-07-22,58,Female,North,Organic Search,180
C100070,2023-01-16,53,Female,West,Email Marketing,140
C100071,2024-01-24,59,Male,East,Paid Ads,650
C100072,2024-10-25,58,Female,Central,Organic Search,180
C100073,2026-03-27,56,Female,East,Referral,90
C100074,2025-08-07,44,Male,South,Organic Search,180
C100075,2025-10-01,19,Female,South,Paid Ads,650
C100076,2024-12-01,49,Male,Central,Organic Search,180
C100077,2023-05-23,32,Male,North,Organic Search,180
C100078,2024-05-17,58,Male,West,Social Media,420
C100079,2026-07-06,42,Female,North,Referral,90
C100080,2023-02-26,65,Male,East,Paid Ads,650
C100081,2026-02-04,48,Male,South,Email Marketing,140
C100082,2025-05-30,46,Female,North,Email Marketing,140
C100083,2024-01-01,65,Male,North,Email Marketing,140
C100084,2025-09-27,42,Female,South,Direct,60
C100085,2025-12-12,37,Female,West,Direct,60
C100086,2023-02-25,37,Male,West,Email Marketing,140
C100087,2023-05-17,63,Male,North,Paid Ads,650
C100088,2025-05-06,57,Other,East,Organic Search,180
C100089,2026-07-08,26,Male,North,Referral,90
C100090,2023-01-31,43,Male,West,Email Marketing,140
C100091,2025-05-06,37,Female,West,Email Marketing,140
C100092,2023-06-25,51,Female,Central,Social Media,420
C100093,2025-04-16,20,Female,Central,Email Marketing,140
C100094,2025-03-12,55,Female,South,Referral,90
C100095,2023-04-27,56,Female,South,Social Media,420
C100096,2025-05-25,29,Female,Central,Organic Search,180
C100097,2026-02-27,25,Female,North,Paid Ads,650
C100098,2026-01-15,50,Female,North,Organic Search,180
C100099,2023-02-07,31,Female,South,Organic Search,180
C100100,2023-11-13,66,Female,West,Social Media,420
C100101,2023-11-06,58,Male,West,Organic Search,180
C100102,2024-08-05,67,Female,Central,Email Marketing,140
C100103,2023-07-03,45,Female,South,Paid Ads,650
C100104,2026-01-03,66,Male,South,Referral,90
C100105,2025-09-25,18,Male,South,Organic Search,180
C100106,2025-11-05,33,Female,West,Email Marketing,140
C100107,2023-09-12,18,Male,North,Paid Ads,650
C100108,2023-01-19,53,Male,Central,Social Media,420
C100109,2026-03-17,44,Male,East,Social Media,420
C100110,2024-01-07,32,Male,West,Social Media,420
C100111,2025-04-23,33,Female,West,Social Media,420
C100112,2026-03-15,51,Male,East,Referral,90
C100113,2023-02-16,27,Male,West,Email Marketing,140
C100114,2023-01-08,44,Female,South,Paid Ads,650
C100115,2023-01-07,49,Male,West,Direct,60
C100116,2023-07-21,30,Male,West,Paid Ads,650
C100117,2023-03-08,29,Female,East,Organic Search,180
C100118,2025-11-20,36,Female,North,Paid Ads,650
C100119,2025-02-18,48,Female,Central,Paid Ads,650
C100120,2026-06-14,31,Female,Central,Paid Ads,650
C100121,2025-10-27,37,Female,East,Email Marketing,140
C100122,2026-05-23,46,Male,Central,Social Media,420
C100123,2023-11-03,27,Female,East,Direct,60
C100124,2024-01-06,47,Female,South,Organic Search,180
C100125,2025-12-28,25,Male,East,Social Media,420
C100126,2023-11-11,25,Female,North,Organic Search,180
C100127,2023-03-15,30,Male,East,Paid Ads,650
C100128,2025-05-10,32,Female,West,Paid Ads,650
C100129,2025-10-27,19,Female,North,Referral,90
C100130,2026-05-30,68,Female,South,Referral,90
C100131,2026-04-08,34,Male,West,Organic Search,180
C100132,2023-06-04,59,Female,West,Organic Search,180
C100133,2025-09-19,64,Female,Central,Paid Ads,650
C100134,2025-12-24,59,Male,South,Organic Search,180
C100135,2025-06-16,61,Male,West,Social Media,420
C100136,2025-11-20,23,Female,North,Social Media,420
C100137,2025-12-13,37,Male,North,Email Marketing,140
C100138,2024-07-28,56,Female,West,Direct,60
C100139,2023-02-21,47,Female,South,Paid Ads,650
C100140,2024-08-09,18,Male,West,Email Marketing,140
C100141,2023-09-17,47,Female,South,Referral,90
C100142,2023-05-27,59,Male,North,Organic Search,180
C100143,2023-06-10,61,Female,East,Email Marketing,140
C100144,2025-06-15,37,Female,North,Paid Ads,650
C100145,2024-10-10,30,Male,South,Referral,90
C100146,2024-11-25,34,Female,North,Referral,90
C100147,2025-08-16,33,Female,South,Email Marketing,140
C100148,2024-12-06,36,Other,West,Referral,90
C100149,2025-03-21,33,Male,North,Email Marketing,140
C100150,2023-04-21,41,Female,East,Paid Ads,650
C100151,2025-12-30,20,Female,East,Direct,60
C100152,2024-07-31,32,Male,East,Social Media,420
C100153,2023-07-19,34,Female,East,Referral,90
C100154,2025-11-11,25,Male,West,Email Marketing,140
C100155,2025-08-02,63,Female,Central,Organic Search,180
C100156,2023-03-10,53,Male,North,Paid Ads,650
C100157,2023-09-06,65,Other,West,Email Marketing,140
C100158,2023-01-21,47,Male,North,Direct,60
C100159,2023-12-15,23,Male,East,Referral,90
C100160,2023-05-09,65,Female,East,Paid Ads,650
C100161,2025-07-01,41,Female,North,Organic Search,180
C100162,2024-11-03,53,Female,North,Social Media,420
C100163,2026-06-14,37,Female,North,Paid Ads,650
C100164,2025-08-21,43,Male,North,Email Marketing,140
C100165,2025-02-25,43,Female,East,Social Media,420
C100166,2024-10-16,32,Male,North,Paid Ads,650
C100167,2023-03-12,46,Male,West,Paid Ads,650
C100168,2023-04-01,56,Female,Central,Direct,60
C100169,2025-03-03,19,Female,South,Social Media,420
C100170,2023-01-06,24,Male,North,Organic Search,180
C100171,2023-02-24,61,Male,South,Social Media,420
C100172,2023-10-09,47,Female,Central,Paid Ads,650
