interaction_id,customer_id,interaction_date,channel,type,satisfaction_score
S000001,C100000,2026-03-08,Chat,Feedback,2
S000002,C100000,2026-05-12,Phone,Feedback,3
S000003,C100002,2026-07-20,Phone,Feedback,1
S000004,C100002,2026-07-09,Social Media,Feedback,1
S000005,C100005,2025-06-19,Chat,Complaint,2
S000006,C100005,2026-05-14,Social Media,Query,3
S000007,C100005,2026-01-16,Email,Query,1
S000008,C100005,2026-07-13,Email,Complaint,2
S000009,C100007,2025-06-23,Social Media,Feedback,2
S000010,C100009,2026-03-28,Chat,Feedback,3
S000011,C100009,2026-03-24,Social Media,Feedback,2
S000012,C100010,2026-06-16,Phone,Feedback,2
S000013,C100011,2025-12-08,Chat,Complaint,1
S000014,C100011,2026-04-02,Phone,Complaint,4
S000015,C100011,2026-06-30,Chat,Feedback,1
S000016,C100012,2025-09-15,Social Media,Query,2
S000017,C100012,2025-10-08,Email,Feedback,3
S000018,C100014,2025-11-22,Email,Refund Request,1
S000019,C100014,2026-01-07,Phone,Complaint,4
S000020,C100014,2026-02-17,Email,Query,1
S000021,C100014,2026-03-01,Phone,Refund Request,3
S000022,C100014,2025-11-08,Social Media,Complaint,2
S000023,C100014,2026-04-12,Phone,Complaint,1
S000024,C100014,2026-07-08,Phone,Feedback,3
S000025,C100015,2024-08-12,Phone,Feedback,5
S000026,C100015,2026-01-18,Email,Complaint,3
S000027,C100015,2025-04-23,Social Media,Complaint,3
S000028,C100017,2024-04-01,Chat,Complaint,3
S000029,C100018,2025-04-25,Email,Refund Request,2
S000030,C100018,2025-11-26,Social Media,Query,2
S000031,C100018,2025-08-23,Email,Query,4
S000032,C100018,2024-10-24,Email,Feedback,3
S000033,C100019,2023-12-17,Chat,Complaint,2
S000034,C100019,2024-09-15,Social Media,Complaint,5
S000035,C100019,2024-12-04,Email,Query,2
S000036,C100021,2026-06-07,Email,Query,1
S000037,C100021,2024-09-23,Email,Query,1
S000038,C100024,2026-01-06,Email,Feedback,3
S000039,C100024,2026-01-29,Social Media,Complaint,4
S000040,C100024,2026-05-14,Social Media,Refund Request,3
S000041,C100024,2026-08-02,Email,Query,3
S000042,C100024,2026-05-09,Social Media,Complaint,3
S000043,C100025,2024-11-13,Phone,Complaint,2
S000044,C100025,2025-05-08,Phone,Complaint,2
S000045,C100025,2025-05-20,Phone,Complaint,3
S000046,C100025,2025-07-03,Chat,Feedback,2
S000047,C100025,2025-07-31,Social Media,Complaint,2
S000048,C100025,2025-08-13,Social Media,Complaint,2
S000049,C100025,2026-06-30,Social Media,Feedback,3
S000050,C100025,2026-07-26,Phone,Complaint,2
S000051,C100025,2026-01-20,Chat,Query,2
S000052,C100026,2025-08-16,Email,Complaint,2
S000053,C100026,2026-03-25,Chat,Complaint,1
S000054,C100027,2025-11-23,Phone,Feedback,2
S000055,C100027,2025-01-20,Phone,Query,5
S000056,C100028,2024-04-18,Email,Refund Request,1
S000057,C100028,2024-09-09,Phone,Complaint,2
S000058,C100029,2025-12-09,Chat,Complaint,1
S000059,C100029,2026-04-05,Social Media,Complaint,3
S000060,C100030,2024-04-22,Email,Refund Request,3
S000061,C100030,2024-04-29,Social Media,Refund Request,2
S000062,C100030,2024-06-11,Email,Complaint,1
S000063,C100031,2025-03-06,Social Media,Refund Request,2
S000064,C100031,2025-03-23,Social Media,Complaint,1
S000065,C100031,2025-04-18,Social Media,Refund Request,1
S000066,C100031,2025-04-24,Phone,Refund Request,1
S000067,C100031,2025-05-17,Social Media,Refund Request,2
S000068,C100031,2025-06-11,Social Media,Complaint,2
S000069,C100031,2025-07-29,Chat,Feedback,1
S000070,C100031,2025-10-01,Social Media,Complaint,2
S000071,C100031,2025-11-23,Phone,Complaint,1
S000072,C100031,2025-12-03,Email,Refund Request,2
S000073,C100031,2026-02-09,Phone,Complaint,2
S000074,C100031,2026-04-08,Email,Complaint,1
S000075,C100031,2026-05-25,Email,Refund Request,2
S000076,C100031,2026-08-03,Social Media,Complaint,3
S000077,C100031,2025-12-02,Phone,Complaint,2
S000078,C100032,2026-06-15,Social Media,Complaint,3
S000079,C100032,2026-05-10,Phone,Feedback,2
S000080,C100032,2026-07-10,Social Media,Query,2
S000081,C100034,2024-07-28,Phone,Complaint,2
S000082,C100034,2024-08-04,Email,Feedback,1
S000083,C100034,2024-08-02,Social Media,Complaint,2
S000084,C100034,2024-08-12,Phone,Refund Request,1
S000085,C100034,2024-09-01,Chat,Refund Request,1
S000086,C100034,2024-10-14,Social Media,Query,2
S000087,C100034,2024-10-22,Phone,Refund Request,1
S000088,C100034,2024-10-28,Phone,Complaint,2
S000089,C100034,2024-11-03,Social Media,Query,1
S000090,C100034,2025-01-16,Phone,Complaint,2
S000091,C100034,2025-02-21,Phone,Query,4
S000092,C100034,2025-02-27,Social Media,Refund Request,2
S000093,C100034,2025-03-04,Chat,Query,3
S000094,C100034,2025-03-31,Phone,Refund Request,1
S000095,C100034,2025-04-15,Phone,Query,1
S000096,C100034,2025-04-14,Email,Complaint,1
S000097,C100034,2025-05-01,Chat,Feedback,3
S000098,C100034,2025-07-06,Phone,Complaint,1
S000099,C100034,2025-07-31,Chat,Query,3
S000100,C100034,2025-08-08,Phone,Feedback,3
S000101,C100034,2025-08-12,Chat,Complaint,1
S000102,C100034,2025-08-23,Email,Feedback,1
S000103,C100034,2025-09-18,Chat,Query,2
S000104,C100034,2025-09-25,Social Media,Complaint,1
S000105,C100034,2025-10-27,Phone,Query,2
