product_id,product_name,category,unit_price,unit_cost
P0001,Fashion Purpose 795,Fashion & Apparel,2801.61,1610.8
P0002,Fashion Brother 726,Fashion & Apparel,836.81,652.89
P0003,Furniture Ago 784,Furniture,47591.73,31014.58
P0004,Automotive Site 504,Automotive Accessories,3123.68,1787.43
P0005,Health Face 678,Health & Wellness,3317.63,2001.36
P0006,Sports Election 304,Sports & Fitness,5124.89,3822.6
P0007,Automotive Dog 844,Automotive Accessories,5145.4,3439.63
P0008,Furniture Chair 418,Furniture,58300.49,38796.23
P0009,Furniture Since 799,Furniture,13289.05,7930.49
P0010,Sports Blue 139,Sports & Fitness,1642.32,996.75
P0011,Pet Require 769,Pet Supplies,2907.4,2038.74
P0012,Automotive Sit 433,Automotive Accessories,3889.06,2088.82
P0013,Sports Wait 216,Sports & Fitness,4438.63,3251.07
P0014,Books Offer 702,Books & Stationery,930.59,554.34
P0015,Health Begin 848,Health & Wellness,3248.34,2073.52
P0016,Automotive Performance 359,Automotive Accessories,5539.34,3476.71
P0017,Health Knowledge 279,Health & Wellness,178.34,110.76
P0018,Health Almost 697,Health & Wellness,2864.89,1953.76
P0019,Books All 512,Books & Stationery,1180.61,799.88
P0020,Home Better 202,Home & Kitchen,8153.47,4510.27
P0021,Automotive Discover 608,Automotive Accessories,6178.74,3915.62
P0022,Books Early 597,Books & Stationery,1162.49,663.39
P0023,Toys Mouth 127,Toys & Baby,2296.24,1295.54
P0024,Beauty Play 467,Beauty & Personal Care,3008.9,2296.78
P0025,Health Agreement 152,Health & Wellness,1233.33,784.1
P0026,Sports Option 695,Sports & Fitness,5146.18,3263.43
P0027,Pet Decide 697,Pet Supplies,1308.2,790.57
P0028,Beauty Sense 250,Beauty & Personal Care,226.09,155.59
P0029,Health Rate 749,Health & Wellness,1928.23,1343.86
P0030,Automotive Science 550,Automotive Accessories,1430.42,865.9
P0031,Sports Offer 501,Sports & Fitness,3614.88,2502.69
P0032,Furniture Kind 666,Furniture,22985.13,18266.54
P0033,Groceries Discussion 206,Groceries,2406.65,1468.11
P0034,Sports List 729,Sports & Fitness,2613.07,1359.0
