return_id,order_id,customer_id,return_date,refund_amount,reason
R000001,O0000044,C100005,2026-02-19,11879.08,Size Issue
R000002,O0000101,C100014,2025-11-02,3129.77,Size Issue
R000003,O0000113,C100014,2026-02-28,2399.35,Changed Mind
R000004,O0000151,C100015,2024-09-26,1585.19,Not as Described
R000005,O0000199,C100015,2026-03-16,1390.56,Late Delivery
R000006,O0000206,C100015,2026-08-04,31394.28,Not as Described
R000007,O0000220,C100016,2026-02-08,25516.63,Late Delivery
R000008,O0000227,C100017,2024-03-10,2509.6,Not as Described
R000009,O0000232,C100017,2025-09-03,29183.45,Changed Mind
R000010,O0000239,C100018,2024-04-05,50.3,Late Delivery
R000011,O0000246,C100018,2025-11-28,2732.19,Not as Described
R000012,O0000254,C100019,2024-04-25,2127.99,Better Price Found
R000013,O0000267,C100024,2025-01-13,469.9,Better Price Found
R000014,O0000276,C100024,2025-03-14,2016.64,Size Issue
R000015,O0000281,C100024,2025-04-28,8630.45,Better Price Found
R000016,O0000324,C100024,2026-06-18,14335.66,Changed Mind
R000017,O0000335,C100024,2026-08-07,1684.72,Better Price Found
R000018,O0000343,C100025,2024-10-27,2407.69,Better Price Found
R000019,O0000362,C100025,2025-04-06,18314.78,Size Issue
R000020,O0000372,C100025,2025-06-19,22434.39,Not as Described
R000021,O0000381,C100025,2025-07-03,1564.93,Better Price Found
R000022,O0000389,C100025,2025-10-06,5442.85,Late Delivery
R000023,O0000448,C100028,2024-04-22,8046.71,Not as Described
R000024,O0000464,C100030,2023-11-30,9593.21,Not as Described
R000025,O0000470,C100030,2024-04-22,380.83,Not as Described
R000026,O0000482,C100030,2026-02-14,174.12,Not as Described
R000027,O0000491,C100031,2025-04-15,14548.96,Size Issue
R000028,O0000496,C100031,2025-04-28,1596.82,Defective Product
R000029,O0000497,C100031,2025-05-20,22745.98,Not as Described
R000030,O0000504,C100031,2025-07-17,1320.81,Size Issue
R000031,O0000524,C100031,2025-12-19,5230.9,Not as Described
R000032,O0000540,C100031,2026-04-08,225.52,Late Delivery
R000033,O0000562,C100034,2024-08-01,2664.5,Defective Product
R000034,O0000566,C100034,2024-08-09,4781.28,Late Delivery
R000035,O0000570,C100034,2024-09-03,2614.84,Not as Described
R000036,O0000585,C100034,2024-12-21,910.68,Defective Product
R000037,O0000586,C100034,2025-01-01,13047.95,Defective Product
R000038,O0000605,C100034,2025-04-18,7750.94,Defective Product
R000039,O0000609,C100034,2025-06-12,8370.85,Size Issue
R000040,O0000615,C100034,2025-08-04,13875.56,Late Delivery
R000041,O0000628,C100034,2025-10-12,173.48,Size Issue
R000042,O0000631,C100034,2025-11-04,77863.2,Defective Product
R000043,O0000639,C100034,2025-12-16,1751.96,Late Delivery
R000044,O0000642,C100034,2026-01-23,5603.46,Size Issue
R000045,O0000644,C100034,2026-01-24,11588.53,Better Price Found
R000046,O0000652,C100034,2026-04-11,32111.45,Not as Described
R000047,O0000657,C100034,2026-05-17,19554.77,Changed Mind
R000048,O0000661,C100034,2026-06-08,2219.78,Size Issue
R000049,O0000672,C100034,2026-07-25,3631.14,Late Delivery
R000050,O0000682,C100036,2025-05-31,11162.31,Not as Described
R000051,O0000687,C100036,2025-07-26,3228.84,Better Price Found
R000052,O0000729,C100037,2024-11-10,34353.72,Changed Mind
R000053,O0000730,C100037,2024-11-20,7742.11,Better Price Found
R000054,O0000734,C100037,2025-01-16,4867.13,Size Issue
R000055,O0000755,C100037,2025-10-02,30382.01,Better Price Found
R000056,O0000763,C100037,2025-10-13,12431.43,Changed Mind
R000057,O0000780,C100037,2026-02-12,1288.7,Better Price Found
R000058,O0000808,C100038,2023-12-20,12688.09,Better Price Found
R000059,O0000812,C100038,2024-09-14,29790.01,Defective Product
R000060,O0000820,C100039,2024-06-29,1883.47,Not as Described
R000061,O0000827,C100039,2024-11-03,2870.32,Changed Mind
