month,n_orders,total_revenue,avg_order_value
2023-01,107,2079961.52,19438.892710280375
2023-02,227,3927609.58,17302.244845814977
2023-03,493,9590842.28,19454.041135902637
2023-04,635,11395847.62,17946.21672440945
2023-05,898,15516868.5,17279.3635857461
2023-06,1044,18853150.89,18058.57364942529
2023-07,1238,21334483.51,17233.023836833603
2023-08,1443,24726587.28,17135.542120582122
2023-09,1524,27162256.22,17823.00276902887
2023-10,1788,32511487.33,18183.15846196868
2023-11,1855,31560720.94,17013.865735849056
2023-12,2120,37514059.7,17695.311179245284
2024-01,2376,42760295.09,17996.757192760946
2024-02,2236,37387037.85,16720.49993291592
2024-03,2714,48386048.2,17828.315475313193
2024-04,2708,47876691.91,17679.723748153618
2024-05,3042,53770679.49,17676.094506903355
2024-06,3082,55096783.83,17876.957764438677
2024-07,3366,59971904.86,17816.965199049315
2024-08,3686,64084200.58,17385.838464460117
2024-09,3725,65404584.36,17558.277680536914
2024-10,4045,70697200.13,17477.67617552534
2024-11,4155,74340136.72,17891.72965583634
2024-12,4470,78671668.5,17599.925838926174
2025-01,4611,80692664.2,17500.035610496638
2025-02,4292,77863275.34,18141.49006057782
2025-03,4919,87042596.83,17695.18130311039
2025-04,4843,87939222.69,18158.00592401404
2025-05,5224,88370277.7,16916.209360643184
2025-06,5119,88144580.65,17219.101513967573
2025-07,5507,98777457.35,17936.70916106773
2025-08,5884,104228702.36,17713.919503738955
2025-09,5787,103218470.65,17836.265880421637
2025-10,6162,106639417.08,17305.974858812075
2025-11,6063,106290554.83,17531.01679531585
2025-12,6468,111403454.19,17223.78698051948
2026-01,6539,115304204.96,17633.30860376204
2026-02,6228,113700349.36,18256.318137443803
2026-03,6971,123533927.61,17721.12001291063
2026-04,6823,114439510.92,16772.60895793639
2026-05,7162,124214250.62,17343.514468025693
2026-06,7223,120395833.52,16668.397275370346
2026-07,7512,132542467.04,17644.098381256656
2026-08,1936,34839995.43,17995.865408057853
