customer_id,gross_revenue,total_cogs,n_orders,gross_contribution,fulfillment_cost,return_cost,support_cost,acquisition_cost,estimated_profit,profit_margin_pct,profitability_quadrant,recommendation
C100000,110876.54,113440.11,13,-2563.57,8870.12,0.0,300.0,180,-11733.69,-0.11,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100001,17058.95,14905.63,1,2153.32,1364.72,0.0,0.0,180,788.6,0.05,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100002,21560.78,16286.61,4,5274.17,1724.86,0.0,300.0,90,3249.31,0.15,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100003,291954.79,239105.28,12,52849.51,23356.38,0.0,0.0,60,29493.13,0.1,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100004,65751.95,57914.84,2,7837.11,5260.16,0.0,0.0,420,2576.95,0.04,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100005,263294.2,219425.2,15,43869.0,21063.54,12473.03,600.0,180,9732.43,0.04,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100006,32994.89,23695.13,6,9299.76,2639.59,0.0,0.0,180,6660.17,0.2,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100007,19413.44,17914.14,3,1499.3,1553.08,0.0,150.0,650,-203.78,-0.01,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100008,3594.56,3092.98,1,501.58,287.56,0.0,0.0,180,214.02,0.06,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100009,109203.42,91005.7,9,18197.72,8736.27,0.0,300.0,140,9161.45,0.08,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100010,60837.41,44559.66,3,16277.75,4866.99,0.0,150.0,180,11260.76,0.19,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100011,74844.67,66106.71,6,8737.96,5987.57,0.0,450.0,180,2300.39,0.03,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100012,232025.27,173924.12,13,58101.15,18562.02,0.0,300.0,90,39239.13,0.17,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100013,175917.04,173555.55,12,2361.49,14073.36,0.0,0.0,180,-11711.87,-0.07,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100014,299874.42,303222.25,26,-3347.83,23989.95,5805.58,1050.0,650,-34193.36,-0.11,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100015,1342621.28,1145533.57,84,197087.71,107409.7,36088.53,450.0,420,53139.48,0.04,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100016,266617.02,201720.76,15,64896.26,21329.36,26792.46,0.0,180,16774.44,0.06,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100017,201432.86,156222.35,9,45210.51,16114.63,33277.7,150.0,420,-4331.82,-0.02,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100018,156449.08,129573.81,12,26875.27,12515.93,2921.61,600.0,650,10837.73,0.07,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100019,181652.29,153044.17,16,28608.12,14532.18,2234.39,450.0,420,11391.55,0.06,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100021,55692.0,41106.37,2,14585.63,4455.36,0.0,300.0,650,9830.27,0.18,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100023,9553.75,8468.85,2,1084.9,764.3,0.0,0.0,180,320.6,0.03,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
