customer_id,region,acquisition_channel,churn_probability,risk_category,expected_clv_12m,clv_category,segment_name,revenue_at_risk
C100000,North,Organic Search,0.0787925,Low,149004.6,High,Mid-Value Occasional Shoppers,11740.4449455
C100001,South,Organic Search,0.9827807,High,313.55,Low,Low-Engagement / Dormant,308.150888485
C100002,East,Referral,0.3308081,Medium,40286.4,Medium,Low-Engagement / Dormant,13327.06743984
C100003,South,Direct,0.08132843,Low,270644.58,Very High,Mid-Value Occasional Shoppers,22011.0987794094
C100004,South,Social Media,0.9534884,High,400.64,Low,Low-Engagement / Dormant,382.005592576
C100005,South,Organic Search,0.26370072,Low,107712.43,High,Mid-Value Occasional Shoppers,28403.8453439496
C100006,East,Organic Search,0.5797391,Medium,20471.46,Medium,Mid-Value Occasional Shoppers,11868.105796085998
C100007,Central,Paid Ads,0.90684086,High,4513.98,Low,Mid-Value Occasional Shoppers,4093.4615052228
C100008,East,Organic Search,0.9133177,High,3021.37,Low,Low-Engagement / Dormant,2759.470699249
C100009,East,Email Marketing,0.10780629,Low,149357.57,High,Mid-Value Occasional Shoppers,16101.6855051153
C100010,West,Organic Search,0.5310566,Medium,59711.53,High,Mid-Value Occasional Shoppers,31710.202102598
C100011,North,Organic Search,0.36116582,Medium,37399.32,Medium,Mid-Value Occasional Shoppers,13507.3560752424
C100012,South,Referral,0.14061856,Low,62169.66,High,Mid-Value Occasional Shoppers,8742.2080648896
C100013,North,Organic Search,0.77141434,High,9250.08,Medium,Mid-Value Occasional Shoppers,7135.6443581472
C100014,South,Paid Ads,0.019719625,Low,259244.71,Very High,Mid-Value Occasional Shoppers,5112.20846443375
C100015,Central,Social Media,0.006477339,Low,456506.17,Very High,High-Value Loyalists,2956.94521868163
C100016,South,Organic Search,0.29441354,Low,103927.92,High,Mid-Value Occasional Shoppers,30597.7868320368
C100017,Central,Social Media,0.80891615,High,22290.43,Medium,Mid-Value Occasional Shoppers,18031.0888174445
C100018,North,Paid Ads,0.8215087,High,5994.6,Low,Mid-Value Occasional Shoppers,4924.61605302
C100019,South,Social Media,0.65091264,High,14348.37,Medium,Mid-Value Occasional Shoppers,9339.5353963968
C100021,North,Paid Ads,0.97111434,High,669.15,Low,Low-Engagement / Dormant,649.821160611
C100022,South,Social Media,0.9803491,High,291.79,Low,Low-Engagement / Dormant,286.05606388900003
C100023,East,Organic Search,0.40526158,Medium,52272.86,High,Low-Engagement / Dormant,21184.1818347188
C100024,East,Organic Search,0.0004591995,Low,616627.57,Very High,High-Value Loyalists,283.155071830215
C100025,West,Paid Ads,0.008714025,Low,434122.41,Very High,High-Value Loyalists,3782.9535338002497
C100026,Central,Organic Search,0.22198361,Low,42992.08,Medium,Mid-Value Occasional Shoppers,9543.5371198088
C100027,East,Organic Search,0.07533047,Low,180156.52,High,Mid-Value Occasional Shoppers,13571.2753251644
C100028,Central,Direct,0.9476136,High,2334.38,Low,Low-Engagement / Dormant,2212.090235568
C100029,North,Paid Ads,0.51993406,Medium,60997.16,High,Mid-Value Occasional Shoppers,31714.5010472696
C100030,South,Social Media,0.16492091,Low,62909.57,High,Mid-Value Occasional Shoppers,10375.1035321087
C100031,South,Organic Search,0.0018708416,Low,564148.15,Very High,High-Value Loyalists,1055.43182758304
C100032,East,Organic Search,0.05041356,Low,118839.91,High,Low-Engagement / Dormant,5991.142933179601
C100033,East,Referral,0.18620664,Low,110169.1,High,Low-Engagement / Dormant,20514.217942824
C100034,East,Referral,0.0012558223,Low,780459.33,Very High,High-Value Loyalists,980.118230857059
C100035,Central,Direct,0.59376514,Medium,17719.45,Medium,Low-Engagement / Dormant,10521.191709973002
C100036,South,Organic Search,0.0005353129,Low,578821.25,Very High,Mid-Value Occasional Shoppers,309.850481919125
C100037,West,Organic Search,0.0004173448,Low,668076.11,Very High,High-Value Loyalists,278.818090512728
C100038,East,Referral,0.72767663,High,7858.2,Low,Low-Engagement / Dormant,5718.2284938660005
C100039,East,Paid Ads,0.0038227655,Low,617045.57,Very High,High-Value Loyalists,2358.820516923835
C100040,South,Organic Search,0.72192925,High,15252.33,Medium,Mid-Value Occasional Shoppers,11011.1031576525
C100042,South,Organic Search,0.00088950765,Low,753313.44,Very High,High-Value Loyalists,670.0780677278159
C100043,West,Email Marketing,0.020624446,Low,278847.12,Very High,Mid-Value Occasional Shoppers,5751.067368695521
C100044,East,Email Marketing,0.6860819,High,8336.32,Low,Low-Engagement / Dormant,5719.398264608
C100045,North,Social Media,0.21301407,Low,79020.9,High,Low-Engagement / Dormant,16832.563524063
C100046,West,Paid Ads,0.0033705395,Low,502632.67,Very High,High-Value Loyalists,1694.143268225465
C100047,West,Referral,0.09795583,Low,199584.15,High,Mid-Value Occasional Shoppers,19550.4310680945
C100048,Central,Social Media,0.0007534361,Low,541503.44,Very High,High-Value Loyalists,407.988239970184
