order_month,revenue
2023-01,2079961.52
2023-02,3927609.58
2023-03,9590842.28
2023-04,11395847.62
2023-05,15516868.5
2023-06,18853150.89
2023-07,21334483.51
2023-08,24726587.28
2023-09,27162256.22
2023-10,32511487.33
2023-11,31560720.94
2023-12,37514059.7
2024-01,42760295.09
2024-02,37387037.85
2024-03,48386048.2
2024-04,47876691.91
2024-05,53770679.49
2024-06,55096783.83
2024-07,59971904.86
2024-08,64084200.58
2024-09,65404584.36
2024-10,70697200.13
2024-11,74340136.72
2024-12,78671668.5
2025-01,80692664.2
2025-02,77863275.34
2025-03,87042596.83
2025-04,87939222.69
2025-05,88370277.7
2025-06,88144580.65
2025-07,98777457.35
2025-08,104228702.36
2025-09,103218470.65
2025-10,106639417.08
2025-11,106290554.83
2025-12,111403454.19
2026-01,115304204.96
2026-02,113700349.36
2026-03,123533927.61
2026-04,114439510.92
2026-05,124214250.62
2026-06,120395833.52
2026-07,132542467.04
2026-08,34839995.43
